⺁	px
𥪦	lx
𥪧	lv
𥪫	ld
𥪬	lu
𥪭	lv vl
𥪯	ly
𥪰	le
𥪱	lx xl
𥪲	lj
𥪵	ln qq
𥪶	lo
𥪷	lv vl
𥪹	ls
𥪺	lw
𥪻	lp el
𥪼	qq
𥪽	ll
𥪿	ld
𥫀	la
𥫁	lh
𥫂	xt
𥫃	ly
𥫄	ly
𥫅	lo sy
𥫆	lg
𥫇	la
𥫈	wg
𥫉	lf
𥫋	il ll
𥫌	ll
𥫍	lt
𥫎	ty
𥫏	jx
𥫐	lk
𥫒	vx lx
𥫓	lv vv
𥫔	lb vb
𥫕	lv vv
𥫖	ly vy
𥫗	gg vd
𥫙	vd
𥫚	vk
𥫛	vs
𥫜	vi
𥫝	vy
𥫞	vz
𥫟	vj
𥫠	vc
𥫡	vk
𥫢	vi
𥫥	vq
𥫦	vt
𥫧	ra
𥫨	vi
𥫪	vp
𥫫	vx
𥫬	va
𥫭	vn
𥫮	pv va
𥫯	vv
𥫰	vl
𥫱	vt
𥫲	vc
𥫳	vf
𥫴	vu
𥫵	vt
𥫶	vq
𥫷	vj
𥫸	vu
𥫹	vb
𥫺	vr
𥫼	vd
𥫽	vu
𥬀	vy
𥬁	va
𥬂	ve
𥬃	vu
𥬄	vu
𥬅	vo
𥬆	vj
𥬇	vq
𥬈	vc
𥬉	vg
𥬊	vj
𥬌	vt
𥬍	vx
𥬎	vm
𥬏	vh
𥬐	vu
𥬑	vj
𥬒	vd
𥬓	vy
𥬔	vq
𥬕	vr
𥬖	vy
𥬘	vf
𥬙	vj
𥬚	vu
𥬛	vv
𥬜	vb
𥬝	vb
𥬞	ve
𥬟	vs
𥬠	vi
𥬡	vy
𥬢	vz
𥬤	vq
𥬪	vr
𥬫	vi
𥬬	vk
𥬭	vl
𥬮	vj
𥬯	vk
𥬰	ve
𥬱	vi
𥬲	vd
𥬳	vc
𥬴	vy
𥬵	ve
𥬶	vj
𥬷	vx
𥬸	vd
𥬹	vg
𥬺	vb
𥬻	vq
𥬼	vw
𥬽	vy
𥬾	vj
𥬿	vu
𥭀	vu
𥭁	vm
𥭅	vk
𥭆	va
𥭈	vx
𥭉	vh
𥭊	vr
𥭋	vd
𥭌	vv
𥭐	vc
𥭑	vq
𥭒	vd
𥭓	vv
𥭔	vd
𥭕	vx
𥭖	vu
𥭗	vf
𥭘	vx
𥭙	vg
𥭚	vk
𥭛	vy
𥭜	vj
𥭝	vm
𥭞	vo
𥭟	vj vw
𥭠	vw
𥭡	vv
𥭣	vb
𥭤	ve
𥭥	vi
𥭦	vj
𥭧	vt
𥭨	ve
𥭩	vk
𥭪	vp
𥭫	ve
𥭬	vq
𥭭	vz
𥭮	vk
𥭯	vb
𥭰	vm
𥭴	vx
𥭷	vr
𥭸	vv
𥭻	vk
𥭾	vi
𥮂	vk
𥮄	vy
𥮅	vd
𥮉	vf
𥮍	vr
𥮎	vc
𥮏	vd
𥮐	vv
𥮑	vj
𥮒	vv
𥮓	vb
𥮔	vs
𥮕	vh
𥮖	vv
𥮗	vm
𥮘	vn
𥮙	vd
𥮚	vd
𥮛	vj
𥮜	vm
𥮝	vq
𥮞	vc
𥮟	ve
𥮠	vn
𥮡	vm
𥮢	vi
𥮣	vm
𥮤	vl
𥮥	vx
𥮦	vb
𥮧	vm
𥮨	vx
𥮩	vl
𥮪	vo
𥮫	vm
𥮬	vy
𥮭	va
𥮮	vm
𥮯	fd
𥮰	vh
𥮱	vq
𥮳	vy
𥮵	vz
𥮷	vy
𥮹	vr
𥮽	vf
𥮾	vc
𥯀	vj
𥯃	vy
𥯄	vv
𥯆	vs
𥯐	vu
𥯑	vt
𥯒	vz
𥯓	vu
𥯔	vy
𥯕	vw
𥯖	vd
𥯗	sb vb
𥯘	vy
𥯙	vj
𥯚	vk
𥯛	vl
𥯜	vw
𥯝	vt
𥯞	vz
𥯟	vb
𥯠	vp
𥯡	vp
𥯢	vt
𥯣	vu
𥯤	vw
𥯥	vj
𥯦	vj
𥯧	vz
𥯨	vs
𥯩	vv
𥯪	vz
𥯫	vg
𥯬	vd
𥯭	vz
𥯮	vy
𥯯	vy
𥯰	vy
𥯱	sx
𥯲	vd
𥯳	vk
𥯴	vy
𥯵	tv vt
𥯶	vk
𥯷	vq
𥯸	vv
𥯹	vc
𥯺	vr
𥯻	vp
𥯼	vj
𥯽	vq
𥯾	vu
𥯿	vr
𥰂	vh
𥰃	vj
𥰅	vp
𥰉	vt
𥰋	vk
𥰌	vx
𥰍	vl
𥰎	vm
𥰑	vb
𥰓	vw
𥰕	vb
𥰖	vj
𥰗	vb
𥰘	vn
𥰙	vw
𥰚	vu
𥰛	vf
𥰜	vt
𥰝	vx
𥰞	vs
𥰟	vy
𥰠	vl
𥰡	vw
𥰢	vu
𥰣	vl
𥰤	vl
𥰥	vx
𥰦	vj
𥰧	vy
𥰨	vu
𥰩	vy
𥰪	vu
𥰫	vk
𥰬	vx
𥰭	vi
𥰮	vg
𥰯	vg
𥰰	uc vc
𥰱	vz
𥰲	vh
𥰳	vw
𥰴	sx
𥰵	vp
𥰶	vh
𥰷	vt
𥰸	vj
𥰹	vj
𥰺	vu
𥰻	vk
𥰼	vs
𥰽	vh
𥰾	vv
𥰿	sm
𥱀	vw
𥱁	vd
𥱂	bu
𥱃	vm
𥱄	vc
𥱅	vc
𥱆	lt vt
𥱇	vd
𥱉	vl
𥱊	vx
𥱋	vm
𥱌	vh
𥱍	vf
𥱎	vr
𥱏	vg vr
𥱐	vl
𥱑	vs
𥱒	vw
𥱓	vk
𥱔	vv
𥱕	js vs
𥱗	vw
𥱙	vw
𥱜	vk
𥱝	vj
𥱡	vw
𥱢	vd
𥱣	dc
𥱤	vx
𥱦	vd
𥱧	vq
𥱨	vs
𥱩	vr
𥱳	vl
𥱴	vb
𥱵	vx
𥱶	vu
𥱷	vt
𥱸	vq
𥱹	vm
𥱻	vt
𥱼	vb
𥱽	vq
𥱾	vd
𥱿	vi
𥲀	vi
𥲁	vw
𥲂	vp
𥲃	vw
𥲄	vd
𥲅	vx
𥲆	vt
𥲇	vb
𥲈	vr
𥲉	vh
𥲊	vl
𥲋	vx
𥲌	vh
𥲍	vc
𥲎	vl
𥲏	vu
𥲐	vw
𥲑	vm
𥲒	vm
𥲓	vw
𥲔	vl
𥲕	vz
𥲖	vw
𥲗	vd
𥲘	ny
𥲙	ve
𥲚	vc
𥲛	vf
𥲜	vm
𥲝	vp
𥲞	vh
𥲟	vd
𥲠	vw
𥲡	vx
𥲢	vl
𥲣	vj
𥲤	vx
𥲥	vh
𥲦	vb
𥲧	vl
𥲨	vm
𥲩	vr
𥲪	vi
𥲫	vj
𥲬	vd
𥲮	vd
𥲯	vj
𥲰	vu
𥲱	vh
𥲲	jp vp
𥲴	vo
𥲷	ve
𥲸	vx
𥲺	vz
𥲻	vs
𥲼	vp
𥲽	vz
𥲾	vw
𥳁	vy
𥳆	vb
𥳇	vf
𥳈	vc
𥳉	vd
𥳊	vf
𥳋	vx
𥳌	vl
𥳍	vx
𥳎	vq
𥳏	vj
𥳐	vk
𥳑	vx
𥳒	vj
𥳓	vu
𥳔	vs
𥳕	vu
𥳖	vb
𥳗	vx
𥳘	vt
𥳙	vi
𥳚	vr
𥳛	vj
𥳜	vy
𥳝	vx
𥳞	vi
𥳟	vj
𥳠	vh
𥳡	vb
𥳢	vd
𥳣	vz
𥳤	vd
𥳥	vn
𥳦	vu
𥳧	vb
𥳨	vu
𥳩	vd
𥳪	zs
𥳫	vo
𥳬	vh
𥳭	vd
𥳮	vs
𥳯	vc
𥳰	vz
𥳱	vx
𥳲	vy
𥳳	vt
𥳴	vu
𥳵	vs
𥳶	vv
𥳷	vj
𥳸	vj
𥳹	vg
𥳺	vx
𥳻	vd
𥳼	vg
𥳽	vq
𥳾	vj
𥳿	vy
𥴀	vt
𥴁	vt
𥴂	va
𥴄	vv
𥴈	vv
𥴉	vo
𥴊	vg
𥴌	vm
𥴍	vf
𥴎	vu
𥴏	vh
𥴐	vg
𥴑	vu
𥴒	vv
𥴓	va
𥴔	vo
𥴕	vy
𥴖	vb
𥴙	vv
𥴝	ve
𥴟	vw
𥴠	vu
𥴡	vd
𥴢	vv
𥴣	vf
𥴤	vj
𥴥	vb
𥴦	vs
𥴧	vu
𥴨	va
𥴩	vg
𥴪	vy
𥴫	vd
𥴬	vb
𥴭	vh
𥴮	vb
𥴯	vg
𥴰	vj
𥴱	vh
𥴲	vm
𥴳	vx
𥴴	vg
𥴵	vi
𥴶	vb
𥴷	vc
𥴸	vu
𥴹	cb
𥴺	vc
𥴻	vq
𥴼	vy
𥴽	vd
𥴾	vc
𥴿	vk
𥵀	vf
𥵁	vm
𥵃	vv
𥵄	vl
𥵅	vx
𥵆	vy
𥵇	vr
𥵊	vh
𥵋	vc
𥵌	vn
𥵏	vq
𥵐	vx
𥵑	vk
𥵒	vj
𥵓	vh
𥵕	vv
𥵙	vv
𥵜	vp
𥵝	vl
𥵞	vj
𥵟	vu
𥵠	vu
𥵡	vg
𥵢	vd
𥵣	vd
𥵤	vi
𥵥	vm
𥵦	vx
𥵧	vj
𥵨	vf
𥵩	vf
𥵪	vp
𥵫	vj
𥵬	vl
𥵭	vw
𥵮	vn
𥵯	va
𥵰	vg
𥵱	vu
𥵲	vu
𥵳	vq
𥵴	vx
𥵵	vm
𥵶	vu
𥵸	vk
𥵹	vz
𥵺	vx
𥵼	uu vu
𥵽	vk
𥵾	vv
𥶅	vt
𥶆	vl
𥶇	vl
𥶈	vv
𥶉	vl
𥶊	vm
𥶋	vf
𥶌	vl
𥶍	vh
𥶎	vd
𥶏	vd
𥶐	vt
𥶑	vy
𥶒	vi
𥶓	vb
𥶔	vh
𥶕	vu
𥶖	vu
𥶗	vm
𥶘	vx
𥶙	vh
𥶚	vg
𥶛	vd
𥶜	vg
𥶝	vc
𥶞	vm
𥶟	vx
𥶠	vc
𥶢	vu
𥶣	vl
𥶤	vg
𥶥	vt
𥶪	vo
𥶫	vo
𥶬	vh
𥶭	vy
𥶴	vd
𥶵	vu
𥶶	vm
𥶷	vx
𥶸	vw
𥶹	vj
𥶺	vm
𥶻	vs
𥶼	vs
𥶽	vw
𥶾	vl
𥶿	vy
𥷀	vy
𥷁	vb
𥷂	vc
𥷃	vj
𥷄	ve
𥷅	vh
𥷆	vh
𥷇	vq
𥷈	vt
𥷉	ve
𥷊	vl
𥷋	vj
𥷐	vg
𥷑	vb jv
𥷒	vl
𥷔	vy
𥷕	vm
𥷖	vw
𥷗	vl
𥷘	vv
𥷙	vj
𥷚	vh
𥷛	vd
𥷜	vf
𥷝	vt
𥷞	vb
𥷟	vm
𥷠	vd
𥷡	vq
𥷢	vd
𥷣	vy
𥷤	vh
𥷥	vj
𥷦	vz
𥷨	vn
𥷩	vz
𥷪	vj
𥷫	vx
𥷬	vv
𥷭	vw
𥷮	vj
𥷯	vx
𥷰	vj
𥷱	vf
𥷲	vw
𥷳	vh
𥷵	vb
𥷶	vi
𥷸	vo
𥷹	vv
𥷼	vz
𥷽	vr
𥷾	vp
𥷿	vu
𥸀	vx
𥸂	vu
𥸃	vu
𥸅	vk
𥸇	vu
𥸈	vd
𥸉	vm
𥸊	vy
𥸋	vm
𥸌	vy
𥸏	gi vi
𥸐	vl
𥸑	vk
𥸕	vs
𥸗	vs
𥸘	vj
𥸚	vd
𥸛	vi
𥸜	vg
𥸞	vq
𥸟	vd
𥸡	vg
𥸢	vc
𥸣	vv
𥸤	yy
𥸧	md
𥸩	my
𥸪	mr
𥸫	mj pm
𥸬	me
𥸭	mc
𥸮	tm
𥸯	mw
𥸰	mi
𥸱	mj
𥸲	mg
𥸳	mv
𥸴	mm
𥸵	mt
𥸶	mk
𥸷	mq
𥸸	md
𥸺	mp
𥸽	mq
𥸾	ma
𥹁	mv
𥹂	mp
𥹃	mf
𥹄	ma bm
𥹅	mb
𥹆	mn
𥹇	mb
𥹈	mt
𥹉	my
𥹊	ms
𥹋	mt
𥹌	mj jm
𥹍	mn
𥹎	mg
𥹏	dm my
𥹐	bm mp
𥹒	mp
𥹓	mq
𥹔	mb
𥹕	ml
𥹖	mp
𥹗	my
𥹙	mv
𥹚	mg
𥹛	mw jm
𥹜	mj
𥹝	mx
𥹞	my
𥹟	bm my
𥹠	md
𥹡	mr rm
𥹢	em me
𥹣	mc
𥹤	me
𥹥	md
𥹦	xm mx
𥹩	ms
𥹫	mm
𥹬	mk
𥹭	dm mr
𥹮	mi
𥹱	my
𥹲	md
𥹳	mw
𥹴	mb
𥹵	mu
𥹶	mx
𥹷	mi
𥹸	mb
𥹹	mw wm
𥹺	my gm
𥹻	mq
𥹼	mp
𥹽	mc
𥹾	mf
𥹿	mt
𥺀	md
𥺁	md
𥺂	mj
𥺄	mx
𥺅	mu
𥺈	mv
𥺉	md
𥺊	mg
𥺋	im mr
𥺌	my
𥺍	mh
𥺗	mk
𥺘	mf
𥺙	mw
𥺚	mx
𥺛	mb
𥺜	mn nm
𥺝	mv
𥺞	my
𥺟	fm mf
𥺠	cm mb
𥺡	my
𥺢	mb
𥺣	mi
𥺤	mu um
𥺥	my
𥺧	mg
𥺩	mb
𥺭	mk
𥺰	mg
𥺳	mo
𥺴	mn
𥺵	mo
𥺶	mu
𥺷	mq
𥺸	mo
𥻀	mj
𥻁	md
𥻂	mj
𥻃	ml
𥻄	mj
𥻅	mt
𥻆	bm mr
𥻇	mx
𥻈	mm
𥻉	mh
𥻊	bm my
𥻋	mb lb
𥻌	lm ml
𥻍	mo
𥻎	ft
𥻏	ms
𥻐	mu
𥻑	my
𥻒	mm
𥻓	mz
𥻔	mc
𥻕	mw
𥻖	mu
𥻗	mi
𥻜	mq
𥻝	mv
𥻞	mk
𥻟	md
𥻤	mi
𥻥	mg
𥻦	mu
𥻧	mj
𥻨	ms
𥻩	mm
𥻪	mb
𥻬	my
𥻭	mp
𥻮	mz
𥻯	me
𥻰	mr
𥻳	mr ud
𥻴	mx xm
𥻵	mu
𥻶	mq
𥻷	mg
𥻾	mj
𥻿	ml
𥼀	mq
𥼁	ml
𥼂	mc
𥼃	mz
𥼄	mm
𥼅	mi ym
𥼆	mu um
𥼇	mj
𥼈	mc
𥼉	mr
𥼊	mb
𥼋	mi wm
𥼎	mg
𥼏	mn
𥼐	mu
𥼑	mm
𥼓	my
𥼔	mx
𥼖	mm
𥼗	mb
𥼘	mj
𥼙	mh
𥼚	mj
𥼛	mc cm
𥼜	mp
𥼝	mq
𥼞	mh
𥼟	mp
𥼠	mf
𥼡	mb
𥼢	mb
𥼤	ms
𥼥	mh
𥼦	mt
𥼧	mg
𥼨	mm
𥼩	mg
𥼪	mo
𥼫	mm
𥼬	mm
𥼭	ml
𥼮	mm
𥼯	mh
𥼰	md
𥼴	mj
𥼶	mx
𥼷	md
𥼸	ml
𥼹	mh
𥼺	mx
𥼻	mz
𥼼	mf
𥼽	md
𥼾	mm
𥼿	im ma
𥽀	tv
𥽁	my
𥽂	hm mh
𥽃	ms
𥽅	mb
𥽆	mc
𥽇	mg
𥽈	md
𥽉	mg
𥽋	mq
𥽌	md
𥽏	im ms
𥽐	ml im
𥽑	mf mm
𥽒	mm
𥽓	mm
𥽗	ml
𥽘	mm
𥽙	mi
𥽚	cm mp
𥽛	mw
𥽟	my
𥽣	ml
𥽥	mh
𥽦	mu zm
𥽧	vm mr
𥽨	mm
𥽬	mx
𥽭	ml
𥽮	mg
𥽯	mm
𥽰	mm
𥽱	ju mu
𥽲	am me
𥽳	me
𥽴	mk
𥽶	mj
𥽷	mz
𥽸	ms
𥽹	mm sm
𥽺	ml
𥽻	md
𥽼	ml
𥽽	bu mu
𥽾	mo
𥽿	mu ym
𥾀	mj
𥾁	ma
𥾂	ml
𥾄	bm mr
𥾅	su
𥾆	sg
𥾇	sl
𥾉	sg
𥾊	sj
𥾋	sn
𥾌	sj
𥾍	sg
𥾎	sq
𥾏	sg
𥾐	sy
𥾑	sa
𥾒	se
𥾓	sg
𥾔	sk
𥾕	sw
𥾖	se
𥾗	sx
𥾚	sr
𥾛	sq
𥾜	sx xs
𥾝	sm
𥾞	sd
𥾟	qs sq
𥾠	sd
𥾡	sy
𥾢	se
𥾣	sv
𥾤	sy
𥾥	sy ys
𥾦	sq
𥾧	sf sj
𥾨	sq
𥾩	fs sf
𥾪	sd
𥾫	sf
𥾮	sg
𥾯	sg
𥾰	sc
𥾱	sv
𥾲	sp
𥾴	sk
𥾶	so
𥾷	su
𥾹	su
𥾺	sc
𥾻	ls sl
𥾼	sl
𥾾	sp
𥿃	sj js
𥿄	sd
𥿅	su
𥿆	ss
𥿇	sp
𥿈	sy
𥿉	sm
𥿊	si
𥿋	sb
𥿌	sy
𥿍	sg
𥿏	fs sf
𥿐	sk
𥿑	sc
𥿒	sf
𥿔	si
𥿕	sv
𥿗	sv
𥿚	qs sq
𥿛	sr
𥿜	se
𥿝	ds sd
𥿞	st
𥿟	cs sr
𥿠	sb
𥿡	sn
𥿦	sv
𥿧	sx
𥿨	sm
𥿩	sc cs
𥿪	se
𥿫	sd
𥿬	sn sc
𥿭	ss
𥿮	su
𥿯	sp
𥿰	sd
𥿱	sy
𥿲	si
𥿳	sx
𥿴	sm
𥿵	sm
𥿶	se
𥿷	sr
𥿸	sj
𥿹	sy
𥿺	sw
𥿻	sv
𥿼	se
𥿽	sa
𥿾	su
𥿿	sb ws
𦀀	as sa
𦀁	su
𦀂	gs su
𦀄	sw
𦀅	sn
𦀆	so
𦀇	st
𦀈	sx
𦀉	sd
𦀌	sr
𦀏	su
𦀒	ky ry
𦀓	sx
𦀕	sy
𦀖	sj
𦀗	si
𦀘	sb
𦀙	sc
𦀚	si
𦀛	su
𦀜	sv
𦀝	sk
𦀞	sa
𦀟	su us
𦀠	si
𦀡	sw
𦀢	sp
𦀣	sy
𦀤	os sd
𦀥	jx
𦀦	sj
𦀧	su us
𦀨	sn
𦀩	sy
𦀪	sb
𦀬	sl
𦀭	sg
𦀰	st
𦀱	sr ys
𦀳	su
𦀵	si
𦀷	sj sw
𦀸	se
𦀺	si
𦁃	st
𦁄	si
𦁆	ss
𦁇	sx
𦁈	sk
𦁉	sq
𦁊	sg
𦁋	gx
𦁌	sy
𦁍	sr
𦁎	sx
𦁏	sy
𦁐	sq
𦁑	sg
𦁒	kr sr
𦁓	gs sr
𦁔	sx
𦁕	sh
𦁖	sv
𦁗	sb
𦁘	ds sw
𦁙	sy
𦁚	sa
𦁛	sm
𦁜	sm
𦁝	lx
𦁞	sx xs
𦁟	si sp
𦁡	sb
𦁢	si
𦁤	sn
𦁥	sa
𦁦	sd
𦁨	sd
𦁫	qs sq
𦁭	sy
𦁮	sy
𦁯	si
𦁰	sc
𦁱	sk
𦁲	sh
𦁳	sj
𦁴	sj
𦁵	sj
𦁶	sg
𦁷	ss fs
𦂀	sd
𦂁	su
𦂂	sn
𦂃	st
𦂄	sj
𦂅	sx
𦂆	sh
𦂇	sw
𦂈	sv
𦂉	sj
𦂊	sw
𦂋	sm
𦂌	sf
𦂍	sr
𦂎	qs sq
𦂏	sh
𦂐	su
𦂑	sj
𦂒	sq
𦂓	sf
𦂔	sm
𦂕	sy
𦂖	sc
𦂗	sx xs
𦂘	sm
𦂙	st
𦂚	sx
𦂛	su
𦂜	sg
𦂝	so
𦂞	xs
𦂟	hs sd
𦂠	sx
𦂡	sy
𦂢	sc
𦂣	sy
𦂨	sb
𦂩	sj
𦂬	sg
𦂯	sd
𦂰	sy
𦂲	se
𦂳	is sd
𦂴	su
𦂵	sb
𦂶	sq
𦂷	sd
𦂺	sy
𦂿	sb
𦃁	sq
𦃂	is sd
𦃃	rs sr
𦃄	sf
𦃅	sg
𦃆	sg
𦃇	ss
𦃈	ss
𦃉	sn sc
𦃊	sl
𦃋	sb
𦃌	sy
𦃍	sc
𦃎	sg
𦃏	su
𦃐	sz
𦃑	sh
𦃒	ss
𦃓	sl
𦃔	sg
𦃕	sx
𦃖	su
𦃗	su us
𦃘	sx
𦃙	os sg
𦃚	rs sr
𦃛	sx
𦃜	sx
𦃝	ss
𦃞	sx
𦃟	ss vs
𦃠	st
𦃡	ss
𦃢	ij
𦃣	sk
𦃤	sw ws
𦃥	se
𦃦	sb us
𦃧	su
𦃨	sm
𦃩	sw
𦃪	sr
𦃫	se
𦃬	sx
𦃭	sd
𦃰	sd
𦃱	sy
𦃲	sj
𦃳	sl
𦃶	sv
𦃹	sc
𦃺	sh
𦃻	si
𦃼	sm
𦃽	sy
𦄂	sd
𦄉	qs sq
𦄊	sq
𦄋	sn
𦄌	sw
𦄍	su
𦄎	sq
𦄏	su
𦄐	ls
𦄑	sh
𦄒	sb
𦄓	sd
𦄔	sv
𦄕	st
𦄖	sd
𦄗	sb
𦄘	su
𦄙	sv
𦄚	sc
𦄛	st
𦄜	su
𦄟	sb
𦄠	ns sn
𦄡	sm
𦄢	sy
𦄧	sc
𦄨	ss
𦄩	so
𦄫	ss
𦄯	sv vs
𦄰	sg
𦄱	sp
𦄲	sk
𦄳	sr xs
𦄵	sx
𦄼	sx
𦄽	sq
𦄾	sf
𦄿	sh
𦅀	sx
𦅁	su
𦅂	sw
𦅃	sj
𦅄	sw
𦅅	st
𦅆	sd
𦅇	ss
𦅈	sp
𦅉	su
𦅊	so
𦅋	sx
𦅌	ss
𦅍	ss
𦅎	sh
𦅏	se
𦅐	by sy
𦅑	sx
𦅒	sx
𦅓	sx xs
𦅔	sh hs
𦅕	sv
𦅗	sx
𦅘	sj
𦅚	px sp
𦅛	sc
𦅜	sd
𦅝	sv
𦅟	sm
𦅠	sh
𦅢	sh
𦅥	sd
𦅦	st
𦅧	sv
𦅨	py sy
𦅩	sh
𦅪	rs sr
𦅫	sm
𦅬	ds sf
𦅳	sc
𦅵	ss
𦅶	sg
𦅷	sv
𦅸	vx
𦅹	px sp
𦅺	sm
𦅻	sy
𦅼	sv
𦅽	sb rs
𦅾	js sj
𦅿	sy
𦆀	sx
𦆁	sk wf
𦆂	su
𦆃	sq
𦆄	ss
𦆅	sf
𦆆	sl
𦆇	sk
𦆈	sj
𦆉	sh
𦆊	sl
𦆋	sb
𦆌	sd
𦆍	sg
𦆎	sg
𦆏	sk
𦆐	sy
𦆑	st
𦆒	sy
𦆕	si ss
𦆖	sx
𦆗	ru su
𦆘	se
𦆙	sl
𦆛	sw
𦆜	sj
𦆝	pc
𦆞	sw
𦆟	sm
𦆠	sk
𦆡	sm
𦆢	su
𦆣	sx
𦆤	sy
𦆥	si
𦆦	sy
𦆧	sg
𦆨	sl
𦆩	ss vs
𦆪	sg
𦆫	fs sd
𦆬	sb
𦆭	sn
𦆯	sb
𦆲	sl
𦆳	sd
𦆵	sm
𦆶	sy
𦆷	sz
𦆸	sy
𦆼	sk
𦆽	sl
𦆾	sl
𦆿	sb
𦇀	sh
𦇁	sf
𦇂	ci si
𦇃	sv
𦇄	st
𦇅	sb
𦇆	su us
𦇈	sg
𦇉	sj
𦇊	sh
𦇋	sa
𦇌	sd
𦇍	su
𦇎	sc
𦇏	sy
𦇐	sm
𦇑	sm
𦇓	sy
𦇔	sl
𦇕	sw
𦇖	sp
𦇗	sx
𦇘	sj
𦇙	sj
𦇚	js sa
𦇛	sl
𦇜	sy
𦇝	sy
𦇞	sy
𦇟	sx
𦇠	sh
𦇡	sy
𦇢	so
𦇣	sb
𦇤	sa
𦇥	sj
𦇧	sj
𦇨	mx wx
𦇩	sj
𦇪	su
𦇫	sx
𦇬	sy
𦇭	sk
𦇯	sm
𦇰	sc
𦇱	sc
𦇲	st
𦇳	sm
𦇵	ss ys
𦇷	sd
𦇸	sj
𦇹	ss sy
𦇺	sm
𦇻	ry sy
𦇼	si
𦇽	so
𦇾	sv
𦈀	rn sn
𦈁	rl sl
𦈃	sn
𦈄	ss
𦈅	sd
𦈇	ps sj
𦈈	si
𦈉	sj
𦈋	sy
𦈌	su
𦈎	sd
𦈏	sh
𦈐	sl
𦈑	st
𦈒	sx
𦈓	sw
𦈔	sg
𦈕	sy
𦈖	sy
𦈗	sf
𦈘	sh
𦈙	sn
𦈚	sq
𦈛	sz
𦈜	sj
𦈝	sx
𦈞	sb
𦈟	sj
𦈠	sx
𦈡	sx
𦈢	pa ra
𦈣	fk
𦈤	fa
𦈥	fi
𦈦	fh
𦈧	fb
𦈨	fk
𦈩	fj gf
𦈪	fd
𦈫	fy
𦈬	fc cf
𦈭	fu
𦈮	fj
𦈯	fk kf
𦈰	fg
𦈱	cf fc
𦈲	fh
𦈴	ff
𦈵	fg
𦈶	ff
𦈷	fi
𦈸	fh
𦈹	fu uf
𦈺	fv
𦈻	fj
𦈼	fi if
𦈽	fu
𦉁	fu
𦉂	fv
𦉃	fm
𦉆	fi
𦉇	fp
𦉈	fr rf
𦉉	fl
𦉊	fc
𦉋	rh
𦉌	fh
𦉍	fo of
𦉎	fc
𦉏	fy
𦉐	fp
𦉑	rh
𦉓	fn
𦉔	fb vb
𦉕	fd
𦉖	fa
𦉘	fi
𦉙	fh
𦉚	fs ls
𦉛	fd
𦉜	fv
𦉝	fb pf
𦉞	fs if
𦉟	fi
𦉠	fs ls
𦉡	rt
𦉢	fk
𦉣	fk yf
𦉤	fc mc
𦉥	fv yf
𦉦	fb wf
𦉧	fx xf
𦉨	fv gf
𦉩	fh th
𦉪	ke
𦉫	ka
𦉬	sd
𦉭	ke ea
𦉮	gb
𦉯	wa
𦉰	kq
𦉲	bu
𦉳	ku
𦉴	su
𦉵	sb
𦉶	sg
𦉷	st
𦉸	ww
𦉹	su
𦉺	kw
𦉻	wg
𦉼	sd
𦉽	ww
𦉾	sw
𦉿	ka
𦊀	kw
𦊁	sb
𦊂	sh
𦊃	sj
𦊄	sw
𦊅	qe bq
𦊆	sv
𦊇	bl
𦊈	so
𦊊	st
𦊋	mg gm
𦊌	ko oy
𦊍	wh
𦊎	su
𦊏	sm
𦊐	sj
𦊑	sm
𦊒	sj
𦊓	sl
𦊔	sy
𦊕	gq
𦊖	gg
𦊘	wh
𦊙	bg
𦊜	sh
𦊝	wv
𦊞	wm sm
𦊟	wg
𦊠	wb
𦊡	wg
𦊢	sl
𦊣	gd
𦊤	su
𦊥	sd
𦊦	ks
𦊧	km
𦊨	kq
𦊩	wq
𦊪	wh
𦊫	sg
𦊬	gy
𦊭	kh
𦊮	wm
𦊯	sx
𦊰	ko
𦊱	kg
𦊲	sg
𦊳	ss
𦊴	sh
𦊶	wy
𦊷	sp
𦊸	so
𦊹	kg
𦊻	km
𦊼	sl
𦊽	su
𦊾	sf
𦋀	ko
𦋁	sh
𦋃	kh
𦋄	wf
𦋅	sg
𦋆	sg
𦋇	gv
𦋈	sj
𦋉	sf
𦋊	sq
𦋋	sm
𦋌	ke
𦋍	sd
𦋎	sy
𦋏	sl
𦋐	bv
𦋑	wf
𦋓	sj
𦋔	kl
𦋖	wv
𦋗	wl
𦋘	wv
𦋙	wy
𦋚	wv
𦋛	wf
𦋜	wv
𦋝	sv
𦋞	sx
𦋟	wr
𦋠	sx
𦋡	sm
𦋢	ky
𦋣	st
𦋤	su
𦋥	sy
𦋧	wv
𦋩	ky
𦋪	sy
𦋫	wy
𦋬	wd
𦋭	wb
𦋮	ws
𦋯	sg
𦋰	sj
𦋱	gv
𦋲	su
𦋳	sg
𦋴	sy
𦋵	gf
𦋶	sa
𦋸	so
𦋹	ss
𦋺	su
𦋻	wm
𦋼	wn
𦋽	sz
𦋾	sq
𦋿	sc
𦌀	sc
𦌁	sl
𦌂	sa
𦌃	su
𦌄	ko
𦌅	sd
𦌆	kr
𦌈	sj
𦌉	si
𦌊	sq
𦌋	st
𦌌	ky
𦌍	kw
𦌎	kb
𦌏	wl
𦌐	ww
𦌑	wl
𦌒	sx
𦌓	gm
𦌔	sx
𦌕	sl
𦌖	sv
𦌗	si
